"","colNames_bk"
"1","m_n24_travel_f"
"2","m_n08_marksales_f"
"3","m_n16_healthcare_f"
"4","m_n17_hightechtelecominternet_f"
"5","m_n19_socialsector_f"
"6","m_n12_strategy_f"
"7","m_dayssnclast_open"
"8","m_n15_financialserv_f"
"9","m_n27_asiapac_f"
"10","m_openrate_1mon"
"11","m_open_1mon"
"12","w_cntdays_sec3ev8_cnspkg"
"13","m_n26_americas_f"
"14","m_n35_automotive_f"
"15","m_n14_energyresourcematerial_f"
"16","m_open_6mon"
"17","m_optin_monthly_highlights_f"
"18","m_n29_europe_f"
"19","m_openrate_6mon"
"20","m_n22_publicsector_f"
"21","m_open_timediff"
"22","m_openrate_9mon"
"23","m_open_9mon"
"24","top_pref_consumer_retail_f"
"25","w_seclvl3ev8_cnspkg_f"
"26","m_n09_operations_f"
"27","m_open_3mon"
"28","m_n32_mckquaterly_f"
"29","m_openrate_3mon"
"30","m_clickrate_9mon"
"31","m_fivefifty_open_6mon"
"32","m_n05_digital_f"
"33","m_fivefifty_openrate_6mon"
"34","m_n28_china_f"
"35","w_avgperday_sec5ev10"
"36","m_clickrate_6mon"
"37","m_tenure"
"38","m_fivefifty_dayssnclast_open"
"39","m_n31_sustainability_f"
"40","m_clickrate_1mon"
"41","m_clickrate_3mon"
"42","m_fivefifty_openrate_3mon"
"43","m_n06_corpfinance_f"
"44","w_cntdays_sec3ev8_mktsls"
"45","m_n08_marksales_f_AND_m_n15_financialserv_f_AND_m_n16_healthcare_f_AND_m_n24_travel_f"
"46","m_n06_corpfinance_f_AND_m_n16_healthcare_f_AND_m_n22_publicsector_f_AND_m_n35_automotive_f"
"47","m_n08_marksales_f_AND_m_n12_strategy_f_AND_m_n24_travel_f_AND_w_seclvl3ev8_cnspkg_f"
"48","m_n15_financialserv_f_AND_m_n16_healthcare_f_AND_m_n17_hightechtelecominternet_f_AND_m_n24_travel_f"
"49","m_n15_financialserv_f_AND_m_n16_healthcare_f_AND_m_n24_travel_f_AND_top_pref_consumer_retail_f"
"50","m_n12_strategy_f_AND_m_n22_publicsector_f_AND_w_cntdays_sec3ev8_cnspkg_AND_w_cntdays_sec3ev8_cnspkg"
"51","m_n12_strategy_f_AND_m_n24_travel_f_AND_m_n26_americas_f_AND_w_seclvl3ev8_cnspkg_f"
"52","m_n08_marksales_f_AND_m_n22_publicsector_f_AND_m_n28_china_f_AND_w_seclvl3ev8_cnspkg_f"
"53","m_n08_marksales_f_AND_m_n15_financialserv_f_AND_m_n19_socialsector_f_AND_m_tenure"
"54","m_n09_operations_f_AND_m_n16_healthcare_f_AND_m_n24_travel_f_AND_w_seclvl3ev8_cnspkg_f"
"55","m_n08_marksales_f_AND_m_n09_operations_f_AND_m_n14_energyresourcematerial_f_AND_w_cntdays_sec3ev8_cnspkg"
"56","m_n08_marksales_f_AND_m_n15_financialserv_f_AND_m_n17_hightechtelecominternet_f_AND_top_pref_consumer_retail_f"
"57","m_n14_energyresourcematerial_f_AND_m_n15_financialserv_f_AND_m_n16_healthcare_f_AND_m_n24_travel_f"
"58","m_n08_marksales_f_AND_m_n22_publicsector_f_AND_m_n26_americas_f_AND_w_cntdays_sec3ev8_cnspkg"
"59","m_n08_marksales_f_AND_m_n17_hightechtelecominternet_f_AND_m_n24_travel_f_AND_top_pref_consumer_retail_f"
"60","m_n08_marksales_f_AND_m_n17_hightechtelecominternet_f_AND_m_n19_socialsector_f_AND_m_n28_china_f"
"61","m_n08_marksales_f_AND_m_n19_socialsector_f_AND_m_n28_china_f_AND_w_cntdays_sec3ev8_cnspkg"
"62","m_n08_marksales_f_AND_m_n12_strategy_f_AND_m_n17_hightechtelecominternet_f_AND_m_open_1mon"
"63","m_n08_marksales_f_AND_m_n16_healthcare_f_AND_m_n22_publicsector_f_AND_m_n24_travel_f"
"64","m_n08_marksales_f_AND_m_n29_europe_f_AND_m_n35_automotive_f_AND_top_pref_consumer_retail_f"
"65","m_n16_healthcare_f_AND_m_n17_hightechtelecominternet_f_AND_m_n19_socialsector_f_AND_m_n35_automotive_f"
"66","m_n08_marksales_f_AND_m_n14_energyresourcematerial_f_AND_m_n22_publicsector_f_AND_m_n28_china_f"
"67","m_n08_marksales_f_AND_m_n12_strategy_f_AND_m_n35_automotive_f_AND_w_cntdays_sec3ev8_cnspkg"
"68","m_n08_marksales_f_AND_m_n12_strategy_f_AND_m_open_1mon_AND_w_cntdays_sec3ev8_cnspkg"
"69","m_n08_marksales_f_AND_m_n17_hightechtelecominternet_f_AND_m_n24_travel_f_AND_w_cntdays_sec3ev8_cnspkg"
